Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,std_20,Bollinger_Band_Upper,Bollinger_Band_Lower,%K,%D,TR,ATR,Daily returns,Weekly returns,Label
2013-03-25,355.6499938964844,358.125,354.08123779296875,356.59375,275.921630859375,5036856,363.1962524414063,359.41626913561225,38.49253480547051,1.4689766613705615,3.3432387767746237,5.619038974043698,374.43433038949365,351.9581744933189,13.827133701989025,19.40555162608595,4.04376220703125,5.670979091099331,-0.0036497455120443334,-0.002796469457310158,1
2013-03-26,355.625,358.70623779296875,354.25,356.8187561035156,276.0957336425781,3415584,362.53843994140624,359.1688869420792,26.96832940301688,1.1368589148327715,2.9019628043862538,5.553401013270789,373.6452419679478,351.43163791486467,14.814814814814813,16.067645819044337,4.45623779296875,5.494639805385044,0.000630987232714153,-0.0005076859845500881,1
2013-03-28,358.125,362.1187438964844,356.3999938964844,361.16876220703125,279.46173095703125,12348048,362.405940246582,359.35935125302706,27.128118274975336,1.2107060799074816,2.5637114594904995,5.5528592810525526,373.5116588086871,351.3002216844769,38.04251609945972,22.22815487208784,5.71875,5.548658098493304,0.012191080286860334,0.008270443396842131,0
2013-04-01,363.84375,369.1937561035156,363.84375,368.0249938964844,284.7668151855469,7422040,362.63843994140626,360.1846505524039,45.21402998222884,1.8017021864048957,2.411309604873379,5.691194688478611,374.0208293183635,351.256050564449,71.80667122536238,41.55466737987896,8.024993896484375,5.701335362025669,0.018983457061889863,0.024853766753754947,0
2013-04-02,366.25,373.7124938964844,364.35626220703125,371.1312561035156,287.17034912109375,9720888,362.98375244140624,361.2271844144146,54.27523448678103,2.4919941018978875,2.427446504278281,5.993988929202693,374.9717302998116,350.99577458300087,87.264930755263,65.70470602669502,9.356231689453125,5.83392333984375,0.008440356656605141,0.03696916019187779,0
2013-04-03,368.61248779296875,374.9437561035156,368.5,371.0562438964844,287.1122741699219,8355472,363.39000244140624,362.1632853174688,60.25662321644378,2.998438428268571,2.541644889076339,6.259694554006448,375.9093915494191,350.87061333339335,81.91854787427324,80.33004995163286,6.443756103515625,5.992852347237723,-0.00020211773004197298,0.04055733982012977,0
2013-04-04,368.125,368.64373779296875,359.0062561035156,360.0062561035156,278.5621643066406,7499960,363.13218994140624,361.957853963759,52.972794778612176,2.4795745474586965,2.5292308207528107,6.288964296889958,375.71011853518615,350.5542613476263,30.523255813953487,66.56891148116323,12.04998779296875,6.246422903878348,-0.02977981902940685,0.008933106641611843,1
2013-04-05,359.875,362.375,356.25,358.23126220703125,277.1886901855469,4372960,362.4806274414062,361.6029404631183,48.54111405835544,1.9032050474185667,2.4040256660859622,6.073655993023014,374.62793942745225,350.3333154553602,22.267470248909884,44.903091312378855,6.125,6.2732086181640625,-0.004930452919612582,-0.008133316907169674,0
2013-04-08,356.25,359.20623779296875,353.40625,353.98748779296875,273.9049987792969,3716360,361.40281372070314,360.87765925643737,42.58517769796424,1.091409844300415,2.141502501728853,5.521016917019865,372.44484755474286,350.3607798866634,2.6987237527648245,18.496483271876052,5.79998779296875,6.298209054129464,-0.011846465849789212,-0.03814280642978285,0
2013-04-09,354.1937561035156,354.8687438964844,344.53125,345.79376220703125,267.5649108886719,10840656,360.12843933105466,359.44109763268443,36.910721467172365,-0.2106802885797947,1.6710659436671238,6.0381650763459485,372.2047694837466,348.05210917836274,4.151292901459726,9.705828967711463,10.337493896484375,6.688387189592634,-0.02314693560787562,-0.06827097820458772,0
2013-04-10,350.375,353.4750061035156,347.03125,351.95623779296875,272.3332824707031,6551616,359.3153137207031,358.7282538384258,45.02034957643715,-0.7368419665897363,1.1894843616157518,5.986113748500416,371.28754121770396,347.34308622370224,24.414258291296935,10.421424981840481,7.681243896484375,6.834370204380581,0.01782124566564036,-0.05147469263135229,0
2013-04-11,358.3125,366.95001220703125,354.36248779296875,364.5874938964844,282.10693359375,17018672,359.30656280517576,359.286276701098,55.14047364899116,-0.13305827054398378,0.9249758351838048,5.977853774671459,371.2622703545187,347.3508552558328,65.9473567492878,31.50430264734814,14.9937744140625,7.484372820172991,0.035888712138540724,0.012725439392507365,0
2013-04-12,328.1312561035156,328.1312561035156,283.5874938964844,287.08123779296875,222.1349639892578,98027744,355.7640625,352.4096063288952,24.034423730615032,-5.841327277392054,-0.428284787331367,17.233046408832713,390.23015531766544,321.2979696823346,3.8243069627420447,31.395307334442247,81.0,12.979908534458705,-0.21258616217242388,-0.19861478301953173,0
2013-04-15,286.25,294.625,275.5,292.3812561035156,226.23593139648438,66559976,352.41999969482424,346.6926205931448,27.05625290681769,-9.824256494139547,-2.307479128693003,22.271135151147714,396.9622699971197,307.8777293925288,16.97568230019705,28.91578200407562,19.125,13.939729963030134,0.018461737002712253,-0.1740350543844189,0
2013-04-16,289.875,290.75,285.875,287.03125,222.09622192382812,14301736,348.7824996948242,341.0105852985596,26.311086594049414,-13.25960885746548,-4.497905074447499,26.537895657947427,401.85829101071903,295.70670837892936,11.595750655271495,10.798579972736851,6.506256103515625,14.115622384207589,-0.01829804746998387,-0.16993514235762697,0
2013-04-17,287.5,288.9937438964844,281.25,285.48126220703125,220.89697265625,15149144,345.17687530517577,335.72207833746165,25.923895769334493,-15.923663338057793,-6.7830567271695585,29.956403589085184,405.0896824833461,285.26406812700543,10.037092923804376,12.869508626424292,7.743743896484375,14.35044424874442,-0.005400066344583565,-0.18887284397283532,0
2013-04-18,285.79998779296875,290.375,285.1625061035156,286.9624938964844,222.04312133789062,13224368,341.675,331.0783083907019,24.46116277970623,-17.711258328103327,-8.968697047356311,32.48821771531643,406.6514354306329,276.69856456936714,11.526609960863237,11.053151179979688,5.212493896484375,14.314283098493304,0.00518854259646262,-0.21291185600030405,0
2013-04-22,286.45001220703125,286.625,277.9437561035156,280.5687561035156,217.09576416015625,15401288,337.79312591552736,326.2678748395413,19.804927698707388,-19.41999977298434,-11.058957592481917,34.953739208193134,407.7006043319136,267.8856474991411,5.097108458211616,8.886937114293062,9.01873779296875,14.385264805385045,-0.02228074375209166,-0.022685152605304237,0
2013-04-23,281.25,283.82501220703125,280.54998779296875,282.78125,218.8077392578125,7869960,333.97718811035156,322.12629152148975,19.306919461346837,-20.360951536940945,-12.919356381373724,36.630882520076945,407.23895315050544,260.7154230701977,7.32197805603864,7.981898825037817,3.2750244140625,13.950892857142858,0.007885745822917123,-0.03283386298920887,1
2013-04-25,281.0,281.25,277.89373779296875,278.4624938964844,215.4660186767578,13762344,330.00531311035155,317.9678346048226,18.7539442312477,-21.210646978076966,-14.577614500714374,38.17458120023927,406.35447551083007,253.65615070987303,3.1805615349784775,5.19988268307623,4.88751220703125,13.839732578822545,-0.015272427374571795,-0.029853042494556337,1
2013-04-26,277.51251220703125,279.7250061035156,275.3125,276.5,213.94747924804688,11129584,326.00062561035156,314.0185170234109,19.979317213515642,-21.79119822452037,-16.020331245475575,39.41933633303945,404.83929827643044,247.16195294427266,1.2958666941079227,3.9328020950416662,4.412506103515625,13.294198172433036,-0.007047605833818027,-0.03146007600498146,1
2013-04-29,275.75,281.1000061035156,273.25,278.6625061035156,215.6208038330078,8965680,322.0928131103516,310.6512778881828,21.474336181331267,-21.82520571447884,-17.18130613927623,40.071986462821926,402.23678603599546,241.94884018470773,5.776419848864727,3.4176160259836945,7.850006103515625,13.417412894112724,0.007820998566060222,-0.028923597924831235,1
2013-04-30,279.25,280.29376220703125,277.7749938964844,279.4312438964844,216.2156219482422,8840720,318.00593719482424,307.6779413175448,22.58834295541915,-21.54180565373116,-18.053406042167218,40.04507097434092,398.0960791435061,237.9157952461424,6.596844280902382,4.556376941291663,2.518768310546875,13.183040073939733,0.002758669631296451,-0.004054308194642919,1
2013-05-02,279.5,286.4312438964844,279.5,285.8374938964844,221.1725311279297,9376184,313.89656219482424,305.59789870601526,27.662632180821248,-20.56323802033927,-18.55537243780163,38.84091028972997,391.5783827742842,236.2147416153643,13.433823112714396,8.602362414160487,7.0,12.944647652762276,0.022926033290583625,0.010807802485081286,1
2013-05-03,287.09375,290.5,284.7749938964844,288.4937438964844,223.2279510498047,9117192,309.76468658447266,303.968931581298,25.72207238434315,-19.35032049537034,-18.714362049315373,36.77223995871908,383.3091665019108,236.22020666703452,16.26866799419743,12.099778462604723,5.725006103515625,12.804916381835938,0.00929286764934334,0.036023702365206134,1
2013-05-06,289.375,293.125,289.375,292.63751220703125,226.43421936035156,6000104,305.84375,302.8897487837488,20.5635735776754,-17.84895549809613,-18.541280739071524,33.966675023187115,373.77710004637424,237.91039995362576,35.32629094797506,21.676260684962283,4.631256103515625,12.064736502511161,0.01436345986079246,0.058363516119462,0
